0,CodeUC,Days,TTS,Length,Pheno_stage,Date,Surface_Fol
1,1-V,0.0416666666667,0.9,0.347563220891,0,2003-07-02 01:00:00,0.0310169066372
2,1-V,0.0833333333333,1.35,0.354488416406,0,2003-07-02 02:00:00,0.0323454624831
3,1-V,0.125,1.8,0.36154912411,0,2003-07-02 03:00:00,0.0337307133596
4,1-V,0.166666666667,2.25,0.368747896291,0,2003-07-02 04:00:00,0.0351750648259
5,1-V,0.208333333333,2.7,0.376087329309,0,2003-07-02 05:00:00,0.0366810236049
6,1-V,0.25,3.15,0.3835700642,0,2003-07-02 06:00:00,0.0382512017787
7,1-V,0.291666666667,3.6,0.391198787274,0,2003-07-02 07:00:00,0.0398883211548
8,1-V,0.333333333333,4.05,0.398976230713,0,2003-07-02 08:00:00,0.0415952178085
9,1-V,0.375,4.5,0.406905173176,0,2003-07-02 09:00:00,0.0433748468092
10,1-V,0.416666666667,4.95,0.414988440401,0,2003-07-02 10:00:00,0.0452302871382
11,1-V,0.458333333333,5.4,0.4232289058,0,2003-07-02 11:00:00,0.0471647468038
12,1-V,0.5,5.85,0.431629491067,0,2003-07-02 12:00:00,0.0491815681634
13,1-V,0.541666666667,6.3,0.440193166773,0,2003-07-02 13:00:00,0.0512842334589
14,1-V,0.583333333333,6.75,0.448922952965,0,2003-07-02 14:00:00,0.0534763705746
15,1-V,0.625,7.2,0.457821919758,0,2003-07-02 15:00:00,0.0557617590258
16,1-V,0.666666666667,7.65,0.466893187933,0,2003-07-02 16:00:00,0.058144336187
17,1-V,0.708333333333,8.1,0.476139929521,0,2003-07-02 17:00:00,0.0606282037687
18,1-V,0.75,8.55,0.485565368393,0,2003-07-02 18:00:00,0.0632176345525
19,1-V,0.791666666667,9.0,0.495172780838,0,2003-07-02 19:00:00,0.0659170793946
20,1-V,0.833333333333,9.45,0.504965496139,0,2003-07-02 20:00:00,0.0687311745069
21,1-V,0.875,9.9,0.514946897144,0,2003-07-02 21:00:00,0.0716647490269
22,1-V,0.916666666667,10.35,0.525120420831,0,2003-07-02 22:00:00,0.0747228328876
23,1-V,0.958333333333,10.8,0.535489558861,0,2003-07-02 23:00:00,0.0779106649975
24,1-V,1.0,11.25,0.546057858133,0,2003-07-03 00:00:00,0.0812337017435
25,1-V,1.04166666667,11.7,0.556828921316,0,2003-07-03 01:00:00,0.084697625828
26,1-V,1.08333333333,12.15,0.567806407386,0,2003-07-03 02:00:00,0.0883083554527
27,1-V,1.125,12.6,0.578994032145,0,2003-07-03 03:00:00,0.092072053862
28,1-V,1.16666666667,13.05,0.590395568729,0,2003-07-03 04:00:00,0.0959951392594
29,1-V,1.20833333333,13.5,0.602014848104,0,2003-07-03 05:00:00,0.10008429511
30,1-V,1.25,13.95,0.613855759555,0,2003-07-03 06:00:00,0.104346480845
31,1-V,1.29166666667,14.4,0.625922251152,0,2003-07-03 07:00:00,0.108788942979
32,1-V,1.33333333333,14.85,0.638218330205,0,2003-07-03 08:00:00,0.113419226658
33,1-V,1.375,15.3,0.650748063706,0,2003-07-03 09:00:00,0.118245187657
34,1-V,1.41666666667,15.75,0.66351557875,0,2003-07-03 10:00:00,0.123275004834
35,1-V,1.45833333333,16.2,0.676525062937,0,2003-07-03 11:00:00,0.128517193061
36,1-V,1.5,16.65,0.689780764758,0,2003-07-03 12:00:00,0.133980616663
37,1-V,1.54166666667,17.1,0.703286993961,0,2003-07-03 13:00:00,0.139674503348
38,1-V,1.58333333333,17.55,0.717048121886,0,2003-07-03 14:00:00,0.145608458689
39,1-V,1.625,18.0,0.731068581793,0,2003-07-03 15:00:00,0.151792481143
40,1-V,1.66666666667,18.45,0.74535286915,0,2003-07-03 16:00:00,0.158236977639
41,1-V,1.70833333333,18.9,0.759905541901,0,2003-07-03 17:00:00,0.164952779758
42,1-V,1.75,19.35,0.774731220711,0,2003-07-03 18:00:00,0.17195116052
43,1-V,1.79166666667,19.8,0.789834589179,0,2003-07-03 19:00:00,0.179243851798
44,1-V,1.83333333333,20.25,0.805220394013,0,2003-07-03 20:00:00,0.186843062383
45,1-V,1.875,20.7,0.820893445191,0,2003-07-03 21:00:00,0.194761496724
